,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17,33772018123003,0,42794,46707,56.12,44.87,8.44,1.76,0.85,98.66,108.35,55.46,43.7,8.83,3.06,0.88,65.87,88.89,1
18,5412018123005,0,44123,40249,32.83,19.78,7.48,2.07,0.76,147.25,175.68,34.26,19.95,7.06,1.95,0.71,243.35,231.05,0
19,5412018123005,0,44123,45509,33.6,12.54,3.77,5.02,0.39,131.13,159.94,34.42,13.73,5.63,4.72,0.58,173.16,196.26,1
20,9932018123005,0,44932,44123,45.39,29.21,4.49,4.53,0.46,129.29,225.56,46.33,30.28,7.62,3.38,0.77,203.77,205.92,0
21,9932018123005,0,44932,42397,39.49,30.55,0.77,3.67,0.09,227.09,221.0,40.12,29.43,5.33,2.04,0.54,321.74,300.76,0
22,9932018123005,0,44932,43449,39.79,30.99,1.12,2.83,0.11,19.61,334.51,39.58,32.23,2.67,2.36,0.28,198.55,172.98,1
23,9932018123005,0,44932,45215,39.75,30.62,1.32,2.6,0.13,240.95,48.77,41.09,31.25,3.41,0.53,0.34,277.51,246.49,1
24,3032018123006,0,34683,46273,49.31,16.86,6.0,1.53,0.6,138.49,156.73,48.26,16.14,5.27,1.28,0.52,93.53,116.97,1
25,20252018123006,0,34683,46273,39.56,34.21,3.0,3.15,0.29,85.26,338.04,40.45,33.02,7.51,5.79,0.75,316.65,316.41,1
26,21572018123006,0,35527,33234,70.9,49.7,4.67,0.78,0.47,283.31,345.25,69.63,49.05,7.35,5.78,0.75,43.14,44.58,1
27,25542018123007,0,43948,37265,37.18,13.78,1.21,0.78,0.13,135.01,86.02,38.23,13.04,2.89,4.71,0.31,315.79,294.67,1
28,25542018123007,0,43948,46205,36.82,13.7,1.43,4.01,0.15,87.45,71.42,38.11,13.97,3.46,7.05,0.39,273.12,293.04,1
29,38822018123007,0,43948,42512,85.98,36.59,4.46,2.13,0.45,301.85,265.32,84.72,37.05,4.25,3.1,0.43,55.05,58.03,0
30,38822018123007,0,43948,46303,82.71,35.84,5.34,1.23,0.53,240.25,251.59,83.07,34.94,5.32,3.9,0.52,352.74,330.49,1
31,23192018123008,0,43304,39374,59.75,4.89,6.66,2.83,0.66,76.21,73.5,59.03,5.94,6.2,2.91,0.61,137.02,105.05,1
32,7562018123009,0,44946,45020,17.59,11.9,5.74,3.32,0.56,149.7,179.21,18.66,12.74,5.96,6.06,0.59,173.33,214.07,0
33,7562018123009,0,44946,46721,27.35,8.38,0.87,5.31,0.05,145.03,91.5,28.48,9.29,5.52,2.72,0.55,226.82,207.71,1
34,11762018123009,0,43663,44906,29.25,15.46,6.62,2.62,0.66,146.88,188.83,28.21,16.17,6.73,4.55,0.67,154.76,164.76,1
35,11762018123009,0,43663,46097,29.42,17.38,6.07,4.05,0.6,139.8,180.4,30.85,17.07,4.76,2.74,0.47,273.16,216.77,1
36,22522018123009,0,44946,32436,64.09,26.16,4.35,3.0,0.44,258.61,261.92,63.15,26.85,3.57,6.0,0.32,114.7,138.29,1
37,24772018123009,0,44946,46181,84.18,11.21,1.85,0.93,0.17,208.75,280.25,83.16,10.61,2.5,0.55,0.25,32.15,56.42,1
38,1252018123010,0,42450,35072,30.86,21.73,4.58,5.35,0.47,41.57,102.5,32.08,21.82,0.79,2.94,0.02,227.78,292.26,1
39,14972018123010,0,43010,38707,19.25,38.71,1.57,3.46,0.16,122.23,113.53,20.42,39.32,3.29,2.69,0.34,208.7,247.94,1
40,16212018123010,0,42450,35072,82.45,19.11,4.0,5.18,0.4,194.23,269.0,81.02,19.09,2.8,4.13,0.23,90.91,49.2,1
41,28342018123011,0,43556,46221,103.0,19.76,3.16,3.92,0.3,277.29,14.78,102.01,19.01,8.09,5.57,0.83,15.64,55.66,1
42,30682018123011,0,44830,41618,51.55,42.09,4.03,1.51,0.41,350.19,357.72,52.88,41.86,4.56,2.26,0.46,287.23,298.92,0
43,30682018123011,0,44830,46173,53.88,48.15,5.39,0.24,0.54,98.43,33.27,54.62,47.12,7.09,1.7,0.72,320.05,0.26,1
44,5162018123012,0,42448,43497,70.48,27.19,5.28,3.71,0.52,333.04,281.11,70.98,28.38,3.5,4.94,0.34,181.39,220.81,1
45,6082018123012,0,29957,46984,29.49,40.78,3.19,6.33,0.34,76.36,52.18,30.59,41.37,4.64,4.84,0.48,239.17,293.45,1
46,29392018123012,0,42448,40408,55.25,22.82,5.09,5.62,0.53,144.48,125.78,56.15,23.3,6.03,5.96,0.61,225.29,179.83,1
47,5852018123013,0,38630,44913,89.05,44.42,3.44,3.13,0.33,208.63,94.81,87.66,44.94,8.12,3.88,0.83,114.61,111.16,1
48,32602018123013,0,45900,43487,67.14,25.67,2.86,1.7,0.28,248.04,224.73,66.79,24.84,5.05,5.14,0.52,154.94,60.94,1
49,5922018123015,0,43406,43592,48.51,22.99,1.45,5.44,0.14,77.56,115.62,49.39,21.85,2.22,0.78,0.22,339.93,326.36,1
50,5922018123015,0,43406,39952,48.51,22.69,1.98,6.57,0.2,79.53,185.13,49.02,23.72,5.69,1.78,0.58,211.16,219.42,1
51,17142018123015,0,43406,41339,72.79,19.63,7.49,1.71,0.74,4.0,2.35,71.56,19.24,5.01,2.87,0.5,60.28,82.2,0
52,17142018123015,0,43406,39952,61.74,49.12,8.8,3.38,0.89,288.01,297.14,62.35,47.83,9.26,4.02,0.93,327.35,318.53,1
53,19582018123015,0,43406,43592,76.52,42.07,5.54,1.39,0.56,345.06,355.63,75.85,41.05,7.36,3.87,0.74,5.4,48.28,0
54,19582018123015,0,43406,41339,74.73,47.38,4.96,0.55,0.51,274.65,334.7,73.86,47.11,6.5,3.33,0.67,21.15,69.17,1
55,22772018123015,0,43406,41339,29.38,22.91,3.19,1.52,0.32,76.11,289.51,29.74,21.69,5.43,3.99,0.56,326.2,305.55,1
56,20472018122200,0,44830,46984,64.74,4.28,6.13,2.4,0.62,264.65,253.3,64.02,3.96,5.05,2.5,0.51,96.12,85.83,1
57,20472018122200,0,44830,42875,63.15,3.72,5.19,3.33,0.53,269.35,249.18,62.55,5.08,4.66,6.38,0.45,138.15,197.31,1
58,12052018122201,0,43349,44926,74.78,28.89,4.1,3.56,0.39,259.86,258.82,74.25,30.26,5.18,3.65,0.52,174.93,170.59,0
59,12052018122201,0,43349,46729,76.76,28.35,1.29,2.53,0.11,286.61,8.86,76.14,27.48,6.73,5.13,0.69,45.21,83.72,0
60,12052018122201,0,43349,42529,59.44,35.67,4.57,4.19,0.45,6.87,312.85,58.83,36.42,2.2,3.72,0.21,161.62,143.73,1
61,25542018122201,0,43349,42116,74.24,26.87,6.67,4.4,0.66,196.52,155.19,73.25,26.85,8.2,3.92,0.83,51.65,93.22,0
62,25542018122201,0,43349,43487,77.24,20.88,3.29,4.24,0.34,201.39,159.19,76.1,20.23,7.21,2.05,0.71,247.11,96.83,1
63,32782018122201,0,44964,43396,92.05,30.53,4.84,2.7,0.48,226.48,208.19,91.14,31.13,6.41,5.02,0.65,125.88,119.05,0
64,32782018122201,0,44964,46958,87.92,27.32,5.47,0.91,0.55,242.39,238.81,87.07,28.41,6.21,5.34,0.63,170.01,159.22,0
65,32782018122201,0,44964,36086,84.43,26.04,1.39,2.41,0.12,277.21,317.37,83.4,26.87,3.29,3.84,0.28,109.32,114.68,1
66,36862018122201,0,44964,43396,55.7,24.46,7.67,0.86,0.77,238.45,264.27,55.95,23.44,6.57,3.23,0.65,306.87,308.12,1
67,1332018122300,0,46683,44971,35.48,24.97,1.56,1.9,0.16,200.09,173.7,36.44,24.19,3.83,2.31,0.39,274.68,267.27,1
68,12352018122300,0,43556,32309,33.7,21.27,4.14,3.48,0.4,140.69,198.36,35.03,21.11,6.96,4.31,0.64,262.95,267.62,0
69,12352018122300,0,43556,38760,31.62,9.94,6.9,1.58,0.69,138.67,180.37,32.7,10.2,7.42,3.11,0.75,200.99,217.2,1
70,37612018122300,0,43556,32309,54.75,22.66,4.2,4.16,0.43,116.65,118.35,55.04,21.6,3.4,6.45,0.23,336.21,282.74,1
71,8132018122302,0,44923,41997,47.96,40.5,2.17,1.95,0.21,91.2,75.81,48.69,41.37,4.72,3.98,0.48,272.14,282.91,0
72,8132018122302,0,44923,46142,50.62,41.38,2.28,2.84,0.24,38.39,67.62,51.5,42.17,1.45,3.68,0.15,223.47,235.33,1
73,18322018122302,0,44923,45296,53.22,4.22,5.78,2.65,0.59,285.03,291.46,52.08,4.23,1.06,6.39,0.1,70.0,278.91,1
74,24132018122302,0,33566,42460,27.89,0.17,6.46,1.67,0.52,124.34,126.78,28.99,0.31,6.56,3.79,0.66,225.82,215.77,1
75,26052018122302,0,44923,46200,86.31,21.07,7.46,0.67,0.74,17.2,40.31,84.88,21.4,6.84,3.6,0.68,51.85,46.25,1
76,27172018122302,0,33566,46700,36.98,30.86,4.71,1.38,0.47,109.48,155.19,37.18,32.18,6.87,4.31,0.69,169.95,193.39,1
77,9662018122304,0,42450,38165,73.18,18.06,3.97,4.53,0.42,224.68,238.18,72.01,17.49,4.89,4.17,0.51,46.8,85.66,1
78,25992018122304,0,40130,38707,90.18,18.76,2.18,4.52,0.23,224.0,238.81,89.08,18.31,3.28,3.98,0.34,348.11,81.99,1
79,34332018122304,0,40130,38707,31.08,10.77,2.55,1.43,0.25,65.36,33.71,32.34,10.96,7.39,4.42,0.76,288.74,248.8,0
80,34332018122304,0,40130,35722,37.38,13.31,4.71,0.66,0.47,76.76,77.6,37.87,12.3,4.12,2.49,0.42,295.79,290.19,0
81,34332018122304,0,40130,42407,41.46,12.39,4.32,4.79,0.43,117.4,139.15,42.7,13.04,4.52,2.22,0.46,232.52,210.83,1
82,34332018122304,0,40130,40191,41.72,12.02,4.52,4.69,0.45,119.0,147.39,42.0,13.2,6.37,2.63,0.65,194.69,196.03,1
83,6512018122305,0,43663,46672,38.73,12.51,3.85,2.24,0.38,113.72,164.16,39.26,13.84,9.47,3.32,0.95,223.33,212.22,1
84,7432018122305,0,44837,46239,90.6,11.09,2.16,3.04,0.21,303.72,3.53,89.62,10.54,6.29,4.58,0.64,54.74,63.47,0
85,7432018122305,0,44837,35753,84.69,14.88,1.36,4.5,0.15,89.48,293.5,83.39,15.42,2.81,2.66,0.29,107.42,109.22,1
86,7432018122305,0,44837,43534,85.25,14.65,2.96,3.28,0.27,283.59,292.62,84.13,14.69,3.18,3.48,0.32,82.99,21.9,1
87,17792018122306,0,38947,37220,63.22,35.56,2.65,5.44,0.3,86.55,87.02,64.6,35.28,1.91,2.1,0.19,316.93,298.75,1
88,5972018122307,0,44978,45215,80.22,23.5,4.86,3.56,0.5,270.2,279.23,80.49,22.17,4.52,4.7,0.44,337.78,329.51,1
89,13732018122307,0,44978,43449,43.89,53.91,7.28,2.39,0.74,5.61,7.7,45.04,53.2,6.35,2.03,0.64,333.95,339.37,1
90,29302018122307,0,44978,45215,23.36,45.35,5.34,4.15,0.53,32.86,3.82,24.63,45.64,5.75,3.95,0.57,280.05,316.37,1
91,30552018122307,0,44123,37792,63.85,45.34,7.78,1.99,0.79,338.13,349.24,62.73,44.52,8.6,2.7,0.86,4.61,7.49,1
92,11242018122308,0,44985,43700,83.04,31.64,4.73,4.8,0.48,190.59,183.69,82.9,30.16,0.89,1.86,0.08,22.69,114.91,1
93,11242018122308,0,44985,38737,83.5,33.79,6.33,3.72,0.64,215.68,199.67,82.5,34.56,6.5,3.29,0.67,147.6,174.11,1
94,12162018122308,0,34683,43737,33.58,21.42,6.79,1.27,0.68,166.51,172.52,34.81,22.21,6.16,5.47,0.62,252.28,218.85,0
95,12162018122308,0,34683,30412,39.57,7.74,8.48,0.75,0.86,147.8,151.63,40.2,8.93,9.27,2.56,0.93,166.78,169.33,1
96,22822018122308,0,44985,33234,71.11,43.48,5.0,3.09,0.5,236.42,235.57,70.52,44.57,5.99,0.47,0.6,161.44,194.01,1
97,32892018122308,0,34683,41349,38.91,49.48,7.43,1.33,0.75,263.36,301.24,38.45,50.64,4.16,1.96,0.41,122.9,311.01,1
98,32892018122308,0,34683,45501,38.91,49.48,7.43,1.33,0.75,263.36,301.24,37.68,48.84,4.64,2.4,0.47,34.7,346.78,1
99,1282018122310,0,29957,46137,31.6,8.84,4.4,2.52,0.44,40.77,48.8,32.82,8.8,2.04,6.23,0.22,258.11,268.3,1
100,9672018122310,0,42794,44997,33.48,30.86,4.44,4.04,0.49,78.43,68.4,34.06,31.5,3.98,4.08,0.4,259.61,257.14,1
101,27852018122311,0,45150,43381,28.85,14.15,3.04,3.14,0.31,11.37,298.26,30.02,13.75,9.61,3.86,0.97,276.09,270.49,0
102,29982018122311,0,43406,35953,93.94,51.09,6.23,2.51,0.64,314.66,6.36,92.67,50.62,6.65,3.48,0.67,17.27,24.23,1
103,29982018122311,0,43406,46216,93.58,47.74,7.17,1.31,0.71,0.15,6.36,92.13,47.98,6.57,5.1,0.66,88.58,58.02,1
104,36162018122311,0,45150,38897,64.48,51.89,3.1,5.43,0.33,208.17,261.86,63.3,51.35,4.25,6.11,0.3,37.0,330.99,1
105,1172018122314,0,42412,45369,87.2,22.82,4.08,3.48,0.42,265.52,211.73,86.15,23.67,5.98,0.34,0.6,143.35,174.36,1
106,1172018122314,0,42412,40994,86.79,20.59,4.19,3.59,0.41,238.28,171.13,85.36,21.01,5.69,2.45,0.57,127.56,146.82,1
107,31652018122314,0,42412,41505,40.64,53.88,6.7,3.28,0.68,52.47,38.69,40.23,52.5,6.65,4.52,0.69,357.88,13.33,1
108,2412018122400,0,37251,46286,109.49,18.74,6.29,1.16,0.62,332.4,359.5,108.41,18.36,5.79,3.62,0.58,95.28,71.05,0
109,24672018122400,0,37251,46168,86.43,24.26,2.34,4.21,0.23,287.45,89.53,85.05,23.7,5.66,3.51,0.58,66.96,46.45,0
110,24672018122400,0,37251,41797,83.92,24.32,5.26,0.55,0.53,271.2,273.07,83.43,25.18,3.56,5.24,0.31,145.05,112.95,0
111,24672018122400,0,37251,45533,80.0,25.3,3.99,1.29,0.41,248.73,287.08,80.77,26.5,5.28,2.09,0.53,246.25,252.11,1
112,24672018122400,0,37251,46175,82.02,24.65,4.52,3.11,0.46,259.64,286.96,81.28,23.52,4.83,4.55,0.48,41.73,344.24,1
113,1252018121500,0,42794,46273,51.82,18.08,4.78,3.92,0.48,95.24,182.64,52.85,18.48,7.63,6.07,0.79,174.36,251.11,1
114,16102018121500,0,42794,43530,82.65,6.83,4.46,3.54,0.46,257.39,245.26,81.36,6.4,2.18,5.03,0.22,106.0,129.91,0
115,16102018121500,0,42794,42721,79.19,5.05,2.42,2.74,0.26,196.16,233.34,78.06,4.38,2.23,1.23,0.22,6.73,62.14,1
116,16102018121500,0,42794,40630,79.66,5.4,2.89,2.14,0.3,203.14,238.78,80.34,6.62,4.8,1.28,0.49,168.25,185.48,1
117,22802018121500,0,35527,46778,80.4,37.35,3.68,2.27,0.36,307.6,27.53,79.2,37.25,7.35,2.94,0.74,97.25,109.43,0
118,22802018121500,0,35527,39670,73.33,29.58,2.74,6.1,0.29,259.38,256.49,72.1,29.88,2.29,1.91,0.24,69.04,178.27,1
119,25992018121500,0,35527,46778,76.88,3.36,6.89,5.47,0.7,233.16,235.21,76.43,4.78,6.39,2.55,0.63,203.63,214.78,1
120,25992018121500,0,35527,46633,74.8,2.05,5.32,4.0,0.55,225.33,238.7,73.54,2.21,4.41,8.01,0.48,251.91,134.74,1
121,27212018121500,0,42794,46273,23.24,22.78,4.23,4.1,0.4,69.84,36.42,23.81,21.55,8.38,4.38,0.85,315.99,311.57,1
122,1182018121501,0,44837,45549,60.53,31.64,1.61,3.15,0.18,267.7,223.82,60.44,30.38,3.67,3.66,0.38,13.97,41.5,1
123,1182018121501,0,44837,45533,60.77,31.84,1.54,3.11,0.18,273.17,258.16,59.71,31.1,5.18,5.39,0.52,61.73,53.69,1
124,21662018121501,0,44837,46175,52.88,12.15,2.98,1.83,0.29,93.47,66.19,53.99,13.07,2.35,5.48,0.25,230.86,183.41,1
125,21662018121501,0,44837,45900,52.03,11.9,3.04,4.23,0.3,101.99,79.11,51.35,13.2,5.01,4.49,0.52,125.64,130.89,1
126,32852018121501,0,45900,46672,78.15,10.07,1.51,5.36,0.12,281.09,170.46,76.88,9.55,6.27,2.89,0.63,65.59,68.29,1
127,2262018121600,0,37078,40191,71.07,38.22,6.82,2.05,0.68,295.95,286.46,71.27,37.21,5.77,4.65,0.59,351.95,10.73,0
128,2262018121600,0,37078,35722,65.67,42.94,7.08,3.75,0.71,322.43,335.08,64.43,42.83,4.13,3.18,0.43,34.59,10.17,0
129,13742018121600,0,42450,46657,94.08,19.86,2.85,5.5,0.3,277.78,251.36,92.8,20.09,4.57,5.52,0.47,116.81,168.35,0
130,13742018121600,0,42450,45021,95.66,21.6,5.66,3.96,0.57,229.83,203.86,94.92,22.84,4.5,2.02,0.45,155.5,159.73,1
131,27532018121600,0,37078,46263,30.19,2.78,7.71,1.85,0.78,137.48,162.47,31.36,2.89,6.22,1.35,0.63,209.74,214.49,1
132,43052018121600,0,37078,44887,78.8,-0.15,0.92,3.59,0.11,267.0,214.0,77.4,-0.09,4.9,3.32,0.51,81.73,124.64,1
133,33692018121601,0,43010,43498,75.15,50.59,9.04,1.03,0.91,329.45,314.63,74.13,49.64,7.27,2.11,0.72,349.9,343.71,1
134,19112018121602,0,40107,46151,22.59,6.82,6.95,2.85,0.7,147.68,196.2,23.83,6.19,7.45,6.79,0.76,243.11,252.87,1
135,25742018121602,0,44985,37143,46.42,39.18,1.55,3.94,0.18,115.45,76.17,47.19,38.36,5.09,3.2,0.52,300.35,347.5,1
136,32082018121602,0,42543,39008,51.82,31.65,4.08,0.96,0.41,74.78,46.71,52.29,30.47,6.43,2.15,0.65,339.7,25.82,0
137,32082018121602,0,42543,30412,43.39,28.44,1.44,4.06,0.15,122.96,75.12,44.52,28.16,5.06,4.23,0.52,246.94,260.85,0
138,32082018121602,0,42543,43617,48.76,29.54,4.17,2.45,0.42,48.98,78.17,49.48,28.73,4.37,3.83,0.37,295.84,283.21,0
139,33302018121602,0,44985,43827,70.4,33.73,4.03,3.7,0.39,348.66,350.61,70.15,32.44,6.29,2.44,0.64,6.75,351.6,1
140,38072018121602,0,41418,43617,38.72,0.65,5.8,2.9,0.59,143.3,127.73,39.45,1.56,6.51,2.58,0.64,179.01,181.41,1
141,32052018121603,0,44932,43357,73.76,7.99,2.78,2.25,0.27,272.07,337.43,72.98,7.13,7.98,4.74,0.81,45.16,46.32,0
142,32052018121603,0,44932,43377,68.17,10.29,5.77,2.08,0.58,255.33,269.33,67.78,9.12,2.97,5.16,0.28,11.57,316.83,1
143,36002018121603,0,44932,46241,26.64,0.94,9.32,1.93,0.94,292.67,254.8,26.23,2.28,8.08,1.17,0.82,209.54,231.64,1
144,2152018121604,0,43663,45345,29.5,16.36,2.76,2.31,0.27,57.86,29.15,30.68,16.19,4.28,4.07,0.43,292.0,282.11,0
145,2152018121604,0,43663,44981,31.39,16.32,2.55,1.26,0.25,122.81,126.02,30.97,14.9,2.37,4.61,0.25,6.93,12.73,1
146,2152018121604,0,43663,46179,30.04,17.31,0.87,3.73,0.1,150.48,56.58,30.5,18.61,3.27,1.94,0.34,209.53,190.64,1
147,3302018121604,0,37251,45216,72.67,9.01,1.84,3.34,0.19,292.07,320.24,71.74,9.28,6.6,2.74,0.67,150.81,155.33,0
148,3302018121604,0,37251,43534,72.7,10.18,2.55,2.6,0.25,312.49,25.14,71.58,9.52,4.92,4.14,0.49,57.01,71.87,1
149,3302018121604,0,37251,45020,72.55,9.73,2.18,3.44,0.21,308.22,11.25,71.9,11.0,4.09,6.28,0.42,131.12,154.04,1
150,31212018121604,0,37251,46181,64.72,-0.03,4.86,3.78,0.5,278.86,211.19,63.53,0.15,3.12,2.56,0.32,90.42,165.49,1
151,39212018121604,0,37251,43987,51.2,9.23,4.09,2.55,0.4,116.05,138.13,51.63,10.61,8.09,6.17,0.82,186.17,206.17,0
152,39212018121604,0,37251,42819,56.97,7.0,4.9,1.48,0.49,83.11,95.77,58.13,6.1,1.33,5.9,0.16,310.23,283.02,1
153,39212018121604,0,37251,43534,57.42,6.91,4.58,2.2,0.46,74.96,98.91,57.53,8.01,5.52,5.12,0.56,160.7,167.95,1
154,8552018121606,0,43563,40217,43.25,5.35,3.18,2.28,0.31,69.01,113.36,43.99,5.8,4.69,6.35,0.48,245.1,244.76,1
155,10292018121606,0,44923,44952,86.44,5.47,1.48,4.49,0.12,318.92,357.1,85.49,5.86,5.61,6.13,0.57,92.54,130.9,0
156,10292018121606,0,44923,46329,86.47,9.53,5.52,0.31,0.55,218.16,175.28,85.26,9.65,7.66,6.48,0.77,117.67,106.2,0
157,10292018121606,0,44923,42995,78.54,10.12,3.9,0.63,0.39,192.14,245.59,77.51,11.08,4.35,2.33,0.45,139.55,197.09,1
158,10292018121606,0,44923,42875,78.89,10.29,3.96,0.84,0.39,229.73,247.66,78.41,11.61,4.53,1.22,0.46,201.2,209.64,1
159,26392018121606,0,43563,43645,24.54,3.35,7.56,0.36,0.76,174.33,171.64,25.9,3.85,6.43,1.6,0.65,206.73,213.62,1
160,28592018121606,0,44923,46984,95.22,16.0,3.92,5.07,0.37,6.82,24.18,93.92,16.53,2.97,5.67,0.27,111.17,61.8,1
161,3702018121607,0,36071,41354,90.41,24.87,2.98,4.38,0.27,248.87,206.87,90.66,26.27,6.78,4.67,0.7,131.65,125.63,0
162,3702018121607,0,36071,42750,79.23,13.71,8.47,1.93,0.85,199.57,194.61,77.93,13.38,3.06,4.01,0.28,128.25,151.28,0
163,3702018121607,0,36071,41997,68.91,-0.47,7.71,2.17,0.9,235.92,234.65,68.17,0.18,6.52,3.32,0.65,133.49,156.46,1
164,6922018121607,0,36071,46192,82.11,37.14,4.16,1.93,0.42,291.8,232.43,81.15,36.27,3.29,1.14,0.33,57.37,107.59,0
165,6922018121607,0,36071,41354,81.83,36.86,3.9,2.75,0.39,359.57,226.0,81.34,38.08,4.99,0.13,0.5,139.25,200.09,1
166,15692018121607,0,33566,43449,78.46,0.45,5.12,2.63,0.5,207.59,205.65,77.29,1.22,4.43,2.52,0.44,116.44,159.66,1
167,23532018121607,0,36071,45296,53.66,3.21,8.46,2.1,0.86,56.07,70.79,54.55,2.58,2.99,4.45,0.29,287.64,256.24,0
168,23532018121607,0,36071,43375,81.17,11.68,8.7,2.25,0.87,40.24,42.53,79.84,11.15,8.76,3.1,0.88,90.03,55.22,1
169,25452018121607,0,36071,42374,38.32,32.27,6.02,4.02,0.62,19.29,39.32,38.13,30.96,6.97,5.56,0.71,53.08,17.0,1
170,25452018121607,0,36071,41997,38.71,32.61,5.24,5.89,0.52,11.73,47.92,39.39,33.72,2.8,2.39,0.29,274.32,232.16,1
171,18152018121608,0,44830,40607,45.7,12.89,6.16,1.96,0.61,115.09,123.4,46.36,11.62,0.36,4.8,0.04,226.67,351.25,0
172,18152018121608,0,44830,44996,47.85,11.29,4.55,3.78,0.45,146.47,130.82,49.15,11.76,3.94,1.41,0.39,293.06,200.8,1
173,20702018121608,0,46683,43353,90.12,29.41,4.82,2.81,0.47,286.34,351.86,88.66,29.72,6.56,3.68,0.67,24.55,57.62,1
174,20702018121608,0,46683,40326,90.19,28.95,4.61,3.27,0.45,282.51,348.26,89.43,28.13,6.54,4.39,0.66,37.63,49.35,1
175,29152018121608,0,46683,37179,26.69,20.63,2.1,3.33,0.22,231.99,192.73,27.9,21.16,4.58,6.36,0.56,214.18,209.88,1
176,29152018121608,0,46683,39124,26.82,22.11,4.06,3.38,0.42,184.85,179.7,28.11,22.18,4.83,1.61,0.48,263.06,218.24,1
177,33772018121608,0,46683,46221,96.64,13.49,3.91,1.1,0.38,239.89,296.76,95.96,12.39,4.8,6.37,0.49,6.3,28.97,0
178,22692018121609,0,44990,39232,90.71,1.38,2.04,2.81,0.21,281.46,210.73,90.03,1.85,7.09,5.28,0.73,92.53,97.87,0
179,22692018121609,0,44990,41973,82.33,8.44,3.07,0.81,0.35,308.6,282.1,81.11,8.31,3.05,1.58,0.29,93.47,66.83,1
180,22692018121609,0,44990,42827,82.06,8.49,2.97,0.77,0.27,307.23,280.72,81.71,7.26,2.81,2.44,0.28,67.66,0.68,1
181,26182018121609,0,44990,45034,91.13,39.29,0.91,3.09,0.12,31.7,4.63,90.2,39.37,5.85,4.84,0.6,108.47,131.13,0
182,26182018121609,0,44990,46210,91.0,36.24,3.56,3.67,0.33,288.03,5.01,89.92,36.48,4.72,1.98,0.48,163.25,106.02,0
183,26182018121609,0,44990,46401,91.11,37.39,3.77,0.58,0.39,294.04,3.07,89.88,36.88,5.11,4.82,0.51,84.81,59.04,0
184,26182018121609,0,44990,39232,92.02,39.84,2.67,1.79,0.26,89.55,64.07,91.83,38.5,3.51,1.42,0.46,355.42,19.8,1
185,42052018121609,0,42412,42579,76.06,20.67,6.17,4.01,0.62,301.05,277.8,75.52,21.7,1.8,4.28,0.17,138.86,136.12,0
186,46132018121609,0,44990,39232,33.79,39.61,4.77,4.19,0.45,54.46,15.13,34.96,38.87,4.78,5.66,0.49,289.51,289.97,0
187,46132018121609,0,44990,44907,49.12,53.75,5.64,3.96,0.57,109.02,61.43,49.82,52.92,5.02,3.7,0.51,251.26,311.16,1
